year-name,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,year,Player
2015-Aaron Gordon,PF,19,ORL,47,797,11.4,0.517,0.231,0.293,6.4,17.8,12.0,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1.0,0.06,-2.6,-0.1,-2.7,-0.2,2015,Aaron Gordon
2016-Aaron Gordon,PF,20,ORL,78,1863,17.0,0.541,0.245,0.333,9.0,21.3,15.1,10.3,1.6,2.4,9.0,17.3,3.2,2.2,5.4,0.139,0.9,0.1,1.0,1.4,2016,Aaron Gordon
2017-Aaron Gordon,SF,21,ORL,80,2298,14.5,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2.0,1.7,3.7,0.077,-0.3,-0.7,-1.0,0.6,2017,Aaron Gordon
2018-Aaron Gordon,PF,22,ORL,58,1909,16.5,0.53,0.395,0.26,5.0,21.5,13.2,11.7,1.5,1.9,10.0,24.7,0.9,2.0,2.9,0.072,0.9,-0.6,0.3,1.1,2018,Aaron Gordon
2019-Aaron Gordon,PF,23,ORL,78,2633,15.1,0.538,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7,2019,Aaron Gordon
2020-Aaron Gordon,PF,24,ORL,62,2017,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0.0,1.0,2020,Aaron Gordon
2021-Aaron Gordon,PF,25,TOT,50,1384,14.5,0.547,0.353,0.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.1,0.1,0.7,2021,Aaron Gordon
2021-Aaron Gordon,PF,25,ORL,25,736,14.9,0.537,0.382,0.358,5.3,18.5,11.7,23.0,1.1,2.5,16.5,23.8,0.0,0.6,0.6,0.037,0.5,0.1,0.6,0.5,2021,Aaron Gordon
2021-Aaron Gordon,PF,25,DEN,25,648,14.1,0.564,0.311,0.214,6.7,13.9,10.3,11.8,1.3,2.1,11.7,17.2,0.7,0.6,1.3,0.099,-0.1,-0.3,-0.4,0.3,2021,Aaron Gordon
2022-Aaron Gordon,PF,26,DEN,75,2376,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,0.105,0.5,-1.1,-0.6,0.9,2022,Aaron Gordon
