Player,Actual PER,Predicted PER,Difference
Aaron Gordon,11.4,11.733999999999996,0.3339999999999961
Aaron Holiday,12.6,12.115999999999996,-0.48400000000000354
Aaron Nesmith,9.4,9.430000000000003,0.030000000000002913
Admiral Schofield,6.1,6.576999999999998,0.47699999999999854
Al Horford,20.7,20.940000000000005,0.24000000000000554
Alec Burks,12.7,13.024999999999999,0.3249999999999993
Aleksej Pokusevski,6.1,5.822000000000002,-0.2779999999999978
Alex Caruso,8.7,9.268999999999998,0.5689999999999991
Alex Len,12.4,12.253000000000002,-0.14699999999999847
Alize Johnson,23.5,23.552000000000017,0.052000000000017366
Alperen Şengün,16.0,16.130000000000006,0.1300000000000061
Andre Drummond,17.9,16.717,-1.1829999999999998
Andre Iguodala,17.6,17.011999999999997,-0.5880000000000045
Andrew Wiggins,13.0,13.034999999999995,0.03499999999999481
Anfernee Simons,15.3,15.798000000000002,0.4980000000000011
Anthony Davis,27.5,24.949,-2.5509999999999984
Anthony Edwards,16.5,16.317,-0.18299999999999983
Anthony Gill,13.7,13.111999999999998,-0.588000000000001
Austin Reaves,11.5,11.196,-0.30400000000000027
Austin Rivers,9.9,10.050999999999998,0.15099999999999802
Avery Bradley,11.3,12.225999999999994,0.925999999999993
B.J. Johnson,14.0,12.067999999999993,-1.9320000000000075
Bam Adebayo,21.8,22.541999999999998,0.7419999999999973
Ben McLemore,8.3,7.984000000000001,-0.31599999999999984
Bismack Biyombo,14.1,13.668999999999997,-0.4310000000000027
Blake Griffin,22.6,22.67,0.07000000000000028
Boban Marjanović,24.9,24.515000000000004,-0.38499999999999446
Bobby Portis,19.7,19.514999999999993,-0.18500000000000583
Bogdan Bogdanović,13.5,12.684,-0.8160000000000007
Bojan Bogdanović,14.7,15.042000000000007,0.34200000000000763
Brad Wanamaker,9.5,8.921999999999995,-0.5780000000000047
Bradley Beal,14.3,14.812999999999994,0.5129999999999928
Brandon Clarke,17.3,17.381000000000004,0.08100000000000307
Brandon Goodwin,11.8,11.365000000000002,-0.4349999999999987
Brandon Ingram,8.5,9.325,0.8249999999999993
Brandon Knight,18.5,18.911000000000005,0.4110000000000049
Brook Lopez,22.7,21.642000000000003,-1.0579999999999963
Bruno Fernando,12.6,12.276,-0.32399999999999984
Bryn Forbes,5.9,7.820999999999998,1.9209999999999976
Buddy Hield,11.8,12.114,0.31400000000000006
C.J. Miles,15.3,16.603999999999996,1.303999999999995
CJ McCollum,18.3,18.808000000000003,0.5080000000000027
Cam Reddish,12.8,12.678000000000004,-0.12199999999999633
Cameron Johnson,15.2,16.341000000000005,1.1410000000000053
Cameron McGriff,12.5,13.049000000000001,0.5490000000000013
Cameron Oliver,21.4,19.972000000000005,-1.4279999999999937
Cameron Payne,11.5,11.109999999999996,-0.3900000000000041
Caris LeVert,17.4,16.145000000000003,-1.2549999999999955
Carmelo Anthony,17.6,18.023999999999994,0.4239999999999924
Carsen Edwards,6.9,7.795999999999998,0.8959999999999972
Cedi Osman,13.3,13.298999999999994,-0.0010000000000065512
Chandler Hutchison,8.2,8.281,0.0810000000000013
Charlie Brown Jr.,5.1,3.1830000000000007,-1.916999999999999
Chaundee Brown Jr.,10.3,9.597000000000003,-0.7029999999999976
Cheick Diallo,16.8,15.938999999999998,-0.8610000000000024
Chimezie Metu,6.4,4.153,-2.2470000000000008
Chris Paul,26.2,26.575,0.375
Chris Silva,17.3,13.609000000000002,-3.690999999999999
Christian Wood,17.1,18.99200000000001,1.8920000000000101
Clint Capela,24.3,23.69100000000001,-0.6089999999999911
Cody Martin,10.6,10.661999999999999,0.06199999999999939
Cody Zeller,16.7,16.104999999999997,-0.5950000000000024
Cory Joseph,10.1,11.072999999999997,0.9729999999999972
D'Angelo Russell,13.2,13.097999999999999,-0.10200000000000031
D.J. Augustin,16.8,17.705000000000013,0.9050000000000118
D.J. Wilson,8.4,8.160000000000002,-0.23999999999999844
Daishen Nix,8.1,7.433,-0.6669999999999998
Damian Jones,6.8,7.801,1.0010000000000003
Damian Lillard,26.9,25.904999999999987,-0.9950000000000117
Damion Lee,11.8,11.548000000000002,-0.2519999999999989
Damyean Dotson,6.4,8.137999999999998,1.7379999999999978
Daniel Theis,17.0,16.565,-0.4349999999999987
Danilo Gallinari,16.7,18.841000000000005,2.1410000000000053
Danny Green,13.9,14.566999999999998,0.666999999999998
Danuel House Jr.,-13.4,-8.239,5.161
Darius Bazley,9.6,10.985999999999995,1.3859999999999957
Darren Collison,-0.2,1.2849999999999995,1.4849999999999994
David Nwaba,12.2,12.58,0.3800000000000008
Davion Mitchell,10.8,10.550000000000004,-0.24999999999999645
Davon Reed,12.2,12.101000000000004,-0.09899999999999487
De'Anthony Melton,15.2,14.375999999999998,-0.8240000000000016
DeAndre Jordan,20.2,20.316,0.11599999999999966
DeAndre' Bembry,10.8,10.292999999999997,-0.5070000000000032
DeMar DeRozan,21.5,21.59699999999999,0.09699999999999065
DeMarcus Cousins,16.4,15.766000000000004,-0.633999999999995
Deandre Ayton,20.0,19.819000000000006,-0.18099999999999383
Deividas Sirvydis,5.7,6.646999999999996,0.9469999999999956
Dennis Schröder,13.5,13.176999999999996,-0.32300000000000395
Dennis Smith Jr.,6.8,6.176999999999998,-0.623000000000002
Denzel Valentine,12.1,11.764000000000005,-0.33599999999999497
Derrick Favors,13.9,13.991999999999997,0.09199999999999697
Derrick Jones Jr.,12.0,12.614000000000003,0.6140000000000025
Derrick Rose,16.9,17.857,0.9570000000000007
Derrick Walton,8.7,9.374999999999996,0.6749999999999972
Devin Booker,21.3,21.238999999999983,-0.06100000000001771
Devin Vassell,13.3,12.741999999999997,-0.5580000000000034
Dewayne Dedmon,15.8,16.461,0.6609999999999978
Didi Louzada,-1.2,1.5819999999999999,2.782
Domantas Sabonis,6.9,7.768,0.8679999999999994
Donte DiVincenzo,11.3,10.594,-0.7060000000000013
Doug McDermott,11.5,11.053000000000003,-0.4469999999999974
Draymond Green,12.5,12.070000000000002,-0.42999999999999794
Drew Eubanks,17.9,17.271,-0.6289999999999978
Duncan Robinson,11.0,11.905999999999995,0.9059999999999953
Dwight Howard,17.4,16.421999999999997,-0.9780000000000015
Dwight Powell,15.9,16.743,0.8429999999999982
Dāvis Bertāns,11.2,11.489999999999993,0.2899999999999938
Ed Davis,9.3,11.57,2.2699999999999996
Elfrid Payton,7.9,8.327000000000004,0.42700000000000315
Elijah Hughes,3.7,3.939000000000001,0.23900000000000077
Emanuel Terry,19.9,16.30399999999999,-3.596000000000007
Emmanuel Mudiay,10.2,9.691000000000004,-0.508999999999995
Enes Freedom,15.6,15.066999999999993,-0.5330000000000066
Eric Bledsoe,12.5,11.879999999999997,-0.6200000000000028
Eric Gordon,14.1,13.993999999999998,-0.10600000000000165
